"filename", "language", "XML", "C#", "JSON", "Properties", "HTML", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesClientes.cs", "C#", 0, 86, 0, 0, 0, 0, 0, 0, 10, 96
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesOfertas.Designer.cs", "C#", 0, 157, 0, 0, 0, 0, 0, 47, 6, 210
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesOfertas.cs", "C#", 0, 86, 0, 0, 0, 0, 0, 1, 10, 97
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesProductos.Designer.cs", "C#", 0, 188, 0, 0, 0, 0, 0, 56, 6, 250
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesProductos.cs", "C#", 0, 89, 0, 0, 0, 0, 0, 1, 9, 99
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesProveedores.Designer.cs", "C#", 0, 153, 0, 0, 0, 0, 0, 44, 6, 203
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesProveedores.cs", "C#", 0, 86, 0, 0, 0, 0, 0, 1, 10, 97
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesTransportista.Designer.cs", "C#", 0, 151, 0, 0, 0, 0, 0, 44, 6, 201
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Modales\vtnModalesTransportista.cs", "C#", 0, 85, 0, 0, 0, 0, 0, 0, 8, 93
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Presentacion.csproj", "XML", 553, 0, 0, 0, 0, 0, 0, 0, 0, 553
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Properties\AssemblyInfo.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 17, 5, 37
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Properties\Resources.Designer.cs", "C#", 0, 228, 0, 0, 0, 0, 0, 168, 42, 438
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Properties\Settings.Designer.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 9, 6, 31
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Resources\Compra.html", "HTML", 0, 0, 0, 0, 103, 0, 0, 0, 8, 111
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\Resources\Venta.html", "HTML", 0, 0, 0, 0, 105, 0, 0, 0, 9, 114
